,ANN
RGB_phc_oc,0.704
RGB_phh_oc,0.673
RGB_ec_oc,0.677
RGB_caco3_oc,0.698
RGB_p_oc,0.689
RGB_n_oc,0.681
RGB_k_oc,0.701
RGB_stones_oc,0.692
