,ANN
RGB_phc_oc,0.689
RGB_phh_oc,0.693
RGB_ec_oc,0.659
RGB_caco3_oc,0.684
RGB_p_oc,0.687
RGB_n_oc,0.667
RGB_k_oc,0.679
RGB_stones_oc,0.686
