,ANN
RGB_phc_oc,0.699
RGB_phh_oc,0.695
RGB_ec_oc,0.669
RGB_caco3_oc,0.673
RGB_p_oc,0.69
RGB_n_oc,0.675
RGB_k_oc,0.689
RGB_stones_oc,0.695
