,ANN
RGB_phc_oc,0.695
RGB_phh_oc,0.681
RGB_ec_oc,0.678
RGB_caco3_oc,0.699
RGB_p_oc,0.674
RGB_n_oc,0.681
RGB_k_oc,0.688
RGB_stones_oc,0.674
