,ANN
RGB_phc_oc,0.663
RGB_phh_oc,0.68
RGB_ec_oc,0.683
RGB_caco3_oc,0.668
RGB_p_oc,0.685
RGB_n_oc,0.653
RGB_k_oc,0.65
RGB_stones_oc,0.608
