,ANN
RGB_phc_oc,0.695
RGB_phh_oc,0.7
RGB_ec_oc,0.68
RGB_caco3_oc,0.695
RGB_p_oc,0.693
RGB_n_oc,0.687
RGB_k_oc,0.661
RGB_stones_oc,0.686
