,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.7127030649492139,0.7145260054252808,0.6679977182967012,0.6968517194154046,0.6340633438727423,0.6950594291403456,0.5481117296938515,0.6980431582140125
I-0-1,0.6826988537438997,0.6979934737484257,0.70314595571848,0.7027292456246024,0.7159221167660934,0.6843530394988491,0.7004795265867849,0.6819235817584333
I-0-2,0.6843538299235538,0.6958335422980817,0.6894783409462018,0.6976080021766129,0.7061442651217171,0.6536175799213055,0.7042563814455971,0.6924792178506964
I-0-3,0.7113470511920887,0.5907750693113776,0.6545011781465901,0.7043733875366598,0.6461452561555403,0.6915516511591178,0.7033737945032481,0.5978581645652772
I-0-4,0.6569027367006632,0.6538423852234774,0.5484680295200908,0.717451734170229,0.6938769978275389,0.6543336516827498,0.7125428553681663,0.7100471940723945
I-0-5,0.7122394496349006,0.6533128641519894,0.7035541632163003,0.629231237022805,0.593375785585528,0.7039069486928291,0.7100103925843744,0.6699472855560086
I-0-6,0.7108747794971988,0.714476916967012,0.711792765187291,0.7120138955989266,0.7158242941278976,0.682098592953124,0.6986897376456465,0.6412521603954282
I-0-7,0.7160842389269071,0.6836361236097838,0.6900099289571227,0.7105995871011177,0.7047252550369147,0.7048186851871272,0.7001305618589581,0.7123808369269795
I-0-8,0.670267828229075,0.7157360864182228,0.7060906220487673,0.7072535901017573,0.6938384521204586,0.7069943863450019,0.6900250743862195,0.6338992057172017
I-0-9,0.6920655011493226,0.6882106031211193,0.7033219717239582,0.715093037776006,0.6393702962965659,0.6285978979133382,0.7130677025360497,0.7055442657396378
