,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.647359139847906,0.6414642661896524,0.6445419897067457,0.0,0.0,0.0,0.0,0.0
I-0-1,0.6265127630987467,0.6381778428504263,0.6337564113150045,0.0,0.0,0.0,0.0,0.0
I-0-2,0.6435825659701769,0.6426569699168434,0.6503383593415684,0.0,0.0,0.0,0.0,0.0
I-0-3,0.6415957536353871,0.6508612966685609,0.6333843182781096,0.0,0.0,0.0,0.0,0.0
I-0-4,0.6435126505258506,0.6405696104070839,0.6432518716826776,0.0,0.0,0.0,0.0,0.0
I-0-5,0.6491306128249653,0.6510125862878791,0.648545547145654,0.0,0.0,0.0,0.0,0.0
I-0-6,0.6495966367261107,0.6413849028586492,0.6412316156736018,0.0,0.0,0.0,0.0,0.0
I-0-7,0.6438870761718467,0.6499834791174417,0.6493649165737009,0.0,0.0,0.0,0.0,0.0
I-0-8,0.64402778627128,0.6370931639992381,0.6312101921157411,0.0,0.0,0.0,0.0,0.0
I-0-9,0.6495132106379805,0.6345460768796354,0.0,0.0,0.0,0.0,0.0,0.0
