,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6631783046431801,0.645352428713052,0.6326543229622463,0.6692996616367293,0.6650904999855642,0.5895248535567383,0.6685431508101342,0.6513341242812375
I-0-1,0.6620956069327533,0.6461719243002317,0.6677710474268084,0.6384766237080703,0.6535460463759122,0.6697736689694014,0.6377832449270613,0.6648655757279927
I-0-2,0.6545594982100824,0.6675799884143527,0.6386960236450969,0.6702161599970154,0.6681221436609666,0.6710361769202647,0.6509880127973278,0.6690858985811992
I-0-3,0.6617547252226764,0.6453518856825353,0.6353400454602185,0.6704715839682464,0.6689588969990515,0.6671586345122306,0.6610340840669118,0.6700952960401934
I-0-4,0.6154746666224639,0.6033334517101843,0.6660952086655589,0.6630895551760037,0.6576269465954916,0.6421003121580249,0.6524289493436748,0.6389484508799982
I-0-5,0.6458148741078551,0.6401685474535967,0.6691975345659387,0.6622775339206335,0.6619939277650135,0.6426989950348354,0.6553521166916367,0.6598691149014986
I-0-6,0.6530083599156735,0.6706129328066719,0.6698260757116026,0.6572134749383518,0.6468227613806727,0.6700465071707081,0.6610559214583445,0.6685296129069296
I-0-7,0.6651594812787427,0.6642793363345623,0.6545955745746596,0.6703770516125622,0.6582319748634802,0.6585969493859208,0.6704893378151955,0.6518069792053816
I-0-8,0.6633387757536922,0.6438207861854282,0.6596160300576612,0.6713441289706067,0.6674784582910605,0.6701556275042316,0.65490991304977,0.6708794354606671
I-0-9,0.6368901074590284,0.6703495899541756,0.6500677891039238,0.6510107040021087,0.6664060204473221,0.6676169316395866,0.6595307151512232,0.6615447498696316
