,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.666461828271174,0.6678639464940528,0.6650764091472265,0.6508707554432571,0.6694268917625792,0.617449984227586,0.6607247520000654,0.6687947287186815
I-0-1,0.6632870163350992,0.66712128592196,0.6226967675366558,0.6689845534911749,0.6574543643742887,0.6674308363759873,0.642055382546683,0.6639258324204218
I-0-2,0.6506434251562476,0.66723336626735,0.6311887959364866,0.6590617239938568,0.6701511148643817,0.6577340375753826,0.663706764479611,0.6666293789471525
I-0-3,0.6598259521438303,0.6627436481393303,0.6647332951407603,0.6629286691499143,0.6630137262272442,0.6606279079668083,0.6575719884215382,0.6550859408917633
I-0-4,0.6245639056319796,0.661860356075785,0.648621975956786,0.6318882605238629,0.6569106579308945,0.6596199948933128,0.6432430583041843,0.6720183020327615
I-0-5,0.6636452158137073,0.6697397755518435,0.6633088273608855,0.6538843757318626,0.6583261062810869,0.6705173960328539,0.670825582595328,0.6593702441631264
I-0-6,0.6404450650869498,0.6657974215593643,0.666617577666869,0.6307654710556687,0.6656318271140078,0.6703116976421586,0.6455634702479568,0.6572777450666101
I-0-7,0.6637899047515625,0.6662595699070986,0.6392258123216874,0.6715050707953323,0.6596352510497019,0.6521882983681094,0.6668315065625955,0.6650064716950089
I-0-8,0.6603367350665476,0.6689977384382217,0.6199710802935551,0.6674391603383377,0.6642145714260272,0.6550023681679269,0.6698109811999152,0.6639742328822983
I-0-9,0.6688402723390727,0.6642732526398898,0.6697000267892399,0.6607622512268625,0.6432476046528826,0.667005686333838,0.6607303732696639,0.5911628892262595
