,RGB_oc,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6429623662305016,0.6687846972708267,0.6214903087134303,0.6430039944992074,0.6201867241392538,0.6387715123049162,0.6425062228340706,0.6204098849182436,0.6427754913469828
I-0-1,0.6390974377762295,0.6327053422570668,0.6280130622549267,0.642693748732704,0.6151221464818325,0.6419541073973268,0.639076044935101,0.6269402307178107,0.6430583773820833
I-0-2,0.6485330309164046,0.6121167929287085,0.6367698238057056,0.642554075639315,0.6200918636453159,0.6396354449156654,0.6403890431721333,0.6184349380752683,0.6212280028967023
I-0-3,0.6357478562135175,0.6389127385132392,0.621405308903411,0.6092462611590104,0.6260198817847832,0.6412205352490559,0.6343608151659634,0.6358468812804183,0.6185135356154285
I-0-4,0.6470576228711002,0.6364503334128876,0.6395368407943793,0.6404859883021947,0.6263277692561219,0.6389694575526479,0.6391311286542891,0.6189265571303483,0.6414824417523908
I-0-5,0.6675665508959772,0.6246534120394167,0.6406700180140236,0.6430884309225299,0.6197279263259319,0.6345510552093885,0.6656897519731945,0.6183126913534027,0.6192166549241926
I-0-6,0.6524189572721214,0.6183197464049417,0.6229600957666672,0.6365123390589185,0.6475688229694738,0.6381881518037192,0.6342158164463392,0.6337600106735264,0.6531592360531104
I-0-7,0.6455762550841933,0.6161686096592079,0.6355768289111163,0.6419956353560261,0.6685114267802597,0.6388007938960889,0.6384176649284359,0.6247357996636165,0.6444527054498612
I-0-8,0.6433427288337792,0.6599069716864235,0.6169535137632574,0.6403826509619919,0.6445235249536299,0.6367217075061739,0.6367802176493169,0.6308964569847764,0.6213520522083509
I-0-9,0.636781024167367,0.6233650591644961,0.6189938268035049,0.6405821659132152,0.6181567047936245,0.635270392813067,0.6366485518816057,0.6290411278132291,0.619523509594936
