,ANN
RGB_oc,0.641
RGB_phc_oc,0.637
RGB_phh_oc,0.631
RGB_ec_oc,0.637
RGB_caco3_oc,0.623
RGB_p_oc,0.636
RGB_n_oc,0.636
RGB_k_oc,0.63
RGB_stones_oc,0.637
