,ANN
RGB_oc,0.64
RGB_phc_oc,0.626
RGB_phh_oc,0.634
RGB_ec_oc,0.639
RGB_caco3_oc,0.627
RGB_p_oc,0.64
RGB_n_oc,0.636
RGB_k_oc,0.627
RGB_stones_oc,0.631
