,RGB_oc,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.642396661458823,0.6404977960221493,0.6202736774954698,0.6400931751089598,0.6203396059125348,0.6414654788364064,0.6426705165565019,0.6232592806434314,0.6523076748058854
I-0-1,0.6385042844944891,0.6310244618544549,0.6502390167472462,0.6216766397799831,0.6176176772729898,0.64108010685205,0.6387738528438985,0.6303827510313987,0.6427075118239748
I-0-2,0.634126373668634,0.6601638141199202,0.6389403863396905,0.64236389179531,0.6170991676985988,0.6363048464367187,0.6330909448995773,0.6273607082030118,0.63948469634068
I-0-3,0.6424138067412466,0.6399205021707257,0.6376051057735759,0.6372265297976624,0.618582397945765,0.6388352313835963,0.6374690023475234,0.6194781218670605,0.6466229468636502
I-0-4,0.6607624201637428,0.6203848316297793,0.6210804092222124,0.6385176642949254,0.6157703456188839,0.6335913380368625,0.6395319349405699,0.6285149997144952,0.6457287560757811
I-0-5,0.6454280730723599,0.61991167567147,0.6203485589431249,0.6436915383690114,0.6197440313057294,0.644717586551671,0.6392470599794248,0.6371934389492574,0.6332207842154476
I-0-6,0.6366137015705177,0.6148333431742541,0.641939799637347,0.6530267172270762,0.619829415637229,0.6421140876193376,0.6343126591388863,0.6275947458818727,0.6413593643488296
I-0-7,0.6477904106675404,0.617842734541993,0.6381256184651036,0.6307640045397025,0.6128009503444136,0.63933405708521,0.64065170676981,0.6219100303913807,0.6556799580793713
I-0-8,0.6467310310581706,0.6196037272314538,0.6406128721425929,0.6406405057748037,0.6503676455423143,0.6591131606167517,0.6373863331752349,0.6301040319298037,0.6353963895442242
I-0-9,0.6361410681004863,0.6366627108146538,0.6377461449735184,0.6730785995784483,0.6183060744542556,0.6372474257140208,0.6385572393628967,0.6212831804689791,0.6704287050607656
