,ANN
RGB_oc,0.644
RGB_phc_oc,0.634
RGB_phh_oc,0.638
RGB_ec_oc,0.642
RGB_caco3_oc,0.618
RGB_p_oc,0.639
RGB_n_oc,0.638
RGB_k_oc,0.625
RGB_stones_oc,0.63
