,ANN
RGB_phc_oc,0.673
RGB_phh_oc,0.653
RGB_ec_oc,0.681
RGB_caco3_oc,0.683
RGB_p_oc,0.681
RGB_n_oc,0.649
RGB_k_oc,0.688
RGB_stones_oc,0.634
