,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.715790240574578,0.6825106496932899,0.5685547475428452,0.6033215601289335,0.7148257763314103,0.681449329067678,0.6140470413747292,0.6287672827286963
I-0-1,0.6663374930136288,0.7146180696597766,0.7224865836963731,0.6090536046975485,0.7162310394493719,0.6572014787843982,0.6996338669743292,0.7050350955535027
I-0-2,0.7147449044194782,0.6993164643348027,0.7017619235140774,0.7041471771278411,0.7222858030670625,0.6524455613679333,0.7099250267886723,0.6951708210816732
I-0-3,0.7041364225236898,0.687260098070303,0.7201446321004629,0.6891532030803088,0.6869223511288749,0.7104170788444519,0.5707514529973774,0.712654560880282
I-0-4,0.6898997225858186,0.6988716575272976,0.7031628440831835,0.7181961356179029,0.6936141340457305,0.7044518044534281,0.6888870570610832,0.709959190708477
I-0-5,0.6788365044099987,0.6937871464891097,0.722111895300675,0.6451494610720651,0.7001234127755742,0.6901258200596514,0.6202378496849092,0.674625987244523
I-0-6,0.6874351360398685,0.704473157932207,0.644132812013382,0.6892115948741796,0.7167890808911537,0.6636675419148116,0.7057363514448994,0.6246420936018957
I-0-7,0.7061686593959297,0.700248623864721,0.6981609331023724,0.6982474612740237,0.6914772077311527,0.7052774370573827,0.6714872978747153,0.6918340862036985
I-0-8,0.6934494368312325,0.6901070497379869,0.7062348890368435,0.7122892616117542,0.6646872624993758,0.6749086626744139,0.70131356765416,0.639963795559622
I-0-9,0.6894910913829204,0.701349268977915,0.7131380160162643,0.6787096975053328,0.7040670954674499,0.6977412431588474,0.7063960693848035,0.7197312161530096
