,ANN
RGB_phc_oc,0.695
RGB_phh_oc,0.697
RGB_ec_oc,0.69
RGB_caco3_oc,0.675
RGB_p_oc,0.701
RGB_n_oc,0.684
RGB_k_oc,0.669
RGB_stones_oc,0.68
