,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6824830717473107,0.7059902356200429,0.7177509833856816,0.706795254662423,0.5887459938776276,0.6620316200939611,0.6786367823827288,0.5812383056387955
I-0-1,0.6964838006324445,0.6979683854025587,0.7088099169023441,0.7074934851634778,0.61313443562603,0.65964351661768,0.7215546374956979,0.7266264934574005
I-0-2,0.7082653603984573,0.6982326625126531,0.7207286148747662,0.7252903563016113,0.7069937898366654,0.5805598042372877,0.7082052400737626,0.7116379688570915
I-0-3,0.7023507037259564,0.7204139062393082,0.7050563997568495,0.7243034705887615,0.6411006027275301,0.6895702926719565,0.7088658178045061,0.6905162863966738
I-0-4,0.7040038860092813,0.699808280196046,0.650717825561137,0.6560479240932655,0.6686729205889713,0.7064409956196165,0.6866837400843608,0.7053782625029401
I-0-5,0.6736454295952043,0.7010231261317195,0.7217325875850245,0.6869608324399292,0.6964339913998412,0.6966451025604468,0.7197688329969729,0.709486342120895
I-0-6,0.671407051908629,0.7044292645843062,0.6426669775594229,0.7021221705942415,0.7239688086732823,0.6825162244903753,0.7147452204248818,0.7125076544567339
I-0-7,0.6922729447480948,0.6840023651702287,0.6821971792881009,0.7035577534727346,0.7212412667635366,0.6384494348216385,0.7044241331247303,0.6524419108223841
I-0-8,0.6245053015339945,0.6981367891007507,0.7130022305816528,0.6959402142939513,0.7043192801185172,0.6580761028314295,0.7176246793601586,0.6883676533209044
I-0-9,0.7066279528163733,0.6845950833047272,0.7006845265201738,0.6983456167178843,0.6904364701781166,0.6173476206131927,0.7179839794344856,0.7024006686786046
