,ANN
RGB_phc_oc,0.686
RGB_phh_oc,0.699
RGB_ec_oc,0.696
RGB_caco3_oc,0.701
RGB_p_oc,0.676
RGB_n_oc,0.659
RGB_k_oc,0.708
RGB_stones_oc,0.688
