,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.610367391520907,0.6122323217627061,0.7002433181941634,0.6787657396293794,0.7002084904006827,0.6533470209527541,0.6467759305240564,0.6434274559094646
I-0-1,0.6908576727491836,0.6488479785939788,0.7045736064565228,0.6924565990634859,0.7108959508215305,0.6134895712288053,0.7124086651102115,0.6679877672850691
I-0-2,0.6552704803890994,0.625796784347433,0.6272864688276468,0.6801937357805308,0.6624063696553266,0.6715281928398404,0.6961549938965679,0.529416748517207
I-0-3,0.6877107405236051,0.633891256597068,0.5944286080739827,0.6841833351052805,0.627935515032837,0.6715133409251153,0.6358137694055801,0.5690889695490422
I-0-4,0.6814229667416684,0.672228033680729,0.7148531223010508,0.712312415966385,0.6978173099088074,0.664899822726917,0.7162133477139232,0.6725803028126272
I-0-5,0.6456181168698345,0.6513344531539706,0.7032786542978567,0.7183316133194327,0.7198771186624393,0.6729663601259356,0.7110701609201453,0.6777433059179387
I-0-6,0.7022275829122107,0.6156560215885714,0.6833034548242235,0.6851172921976469,0.7174908393426151,0.6465740539252562,0.6569568766492832,0.6960203163179006
I-0-7,0.6817489725822892,0.69365509331744,0.7067276616033152,0.6183886066646703,0.6370257738048799,0.6671333508999506,0.6992989904414291,0.622821956206435
I-0-8,0.6960000160355883,0.6859497367136775,0.718920951770579,0.6443522523422732,0.6490118675643866,0.6054202116701122,0.7039737010261593,0.6740550586767164
I-0-9,0.6748179794238212,0.6952318260256871,0.6556264756751686,0.7208843196486292,0.6901003750938941,0.6267790507093423,0.7059759814897404,0.5875312808486015
