,RUN
I-0-0,0.7584057948685098
I-0-1,0.7061262661304817
I-0-2,0.7330701346945998
I-0-3,0.6508019029700755
I-0-4,0.6341948760736842
I-0-5,0.6770337154761192
I-0-6,0.7043878570001547
I-0-7,0.6945665369827206
I-0-8,0.6173987537390097
I-0-9,0.606832531234432
