,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,-0.3026467889920841,-0.302646816520024,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841
I-0-1,-0.3026467889920841,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841,-0.3026467889920841,-0.3026468165200238
I-0-2,-0.3026468165200238,-0.3026467889920841,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841
I-0-3,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841
I-0-4,-0.302646816520024,-0.3026468165200238,-0.3026467889920841,-0.3026468165200238,-0.302646816520024,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841
I-0-5,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841
I-0-6,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026468165200238
I-0-7,-0.3026468165200238,-0.3026467889920841,-0.302646816520024,-0.3026467889920841,-0.3026468165200238,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841
I-0-8,-0.3026468165200238,-0.302646816520024,-0.3026468165200238,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841
I-0-9,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.302646816520024,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841,-0.3026467889920841
