,RGB_oc,RGB-rr-lc1_oc,RGB-rr-lu1_oc,RGB-rr-lc1-lu1_oc,RGB-rr-lc1_oc,RGB-rr-lu1_oc,RGB-rr-lc1-lu1_oc,RGB-rr-lc1_oc,RGB-rr-lu1_oc,RGB-rr-lc1-lu1_oc
I-0-0,0.5730751255130945,0.6532758944098975,0.6440805819595192,0.6848193514216292,0.7122858486851897,0.6434811808718891,0.7050070960569282,,0.5915261052126952,
I-0-1,0.5730695850374312,0.6532024612423614,0.6374992930538157,0.6853070948655098,0.7231010605447653,0.6394522160521108,0.7265546036520537,,0.5897979984861386,
I-0-2,0.5746614439264375,0.6526532493091524,0.6368948875203384,0.6833150896442284,0.729302126234316,0.6421900502921261,0.7180693163224992,,0.5889719442936339,
I-0-3,0.5691898447118457,0.652943514130075,0.6378343340685787,0.6858455900006208,0.7099472883990692,0.6431309510359042,0.7084671415403823,,0.5896365418402403,
I-0-4,0.571826864201478,0.6528251964793288,0.6420840326738433,0.6884246641729173,0.7314539931856626,0.6420055663842167,0.7209679232270259,,0.5833975956908257,
I-0-5,0.57380984518862,0.6526520454259572,0.6373234781239485,0.6882955936141364,0.7066425373183829,0.6411210165762882,0.7413960402294526,,0.5815324400445956,
I-0-6,0.5734657788591173,0.6528684219559886,0.6402336846382968,0.683184367648116,0.7193031897250526,0.639571463306099,0.7192598387788871,,0.5892897190837213,
I-0-7,0.573248530994183,0.6526020446182511,0.6445425570288278,0.6852597133423048,0.7142020200156631,0.6425589692899415,0.6853724818409368,,0.589463839571631,
I-0-8,0.5730751184423121,0.6530285899535184,0.6428769449086401,0.6893433364975692,0.7154269364211486,0.6424731313559771,0.7502748273821667,,0.5906411366337676,
I-0-9,0.5730069995684542,0.6526210578120225,0.6401755988863764,0.6797727291786767,0.7005003761055186,0.6417426274129738,0.7046774771342343,,0.5914237382273053,
