,RGB_oc,RGB-clay_oc,RGB-sand_oc,RGB-silt_oc,RGB-clay-sand_oc,RGB-sand-silt_oc,RGB-silt-clay_oc,RGB-clay-sand-silt_oc,RGB_clay_oc,RGB_sand_oc,RGB_silt_oc,RGB_clay-sand_oc,RGB_sand-silt_oc,RGB_silt-clay_oc,RGB_clay-sand-silt_oc
I-0-0,0.5356341492835932,0.5251719862143179,0.4916805431730975,0.507705588607382,0.5189282015049768,0.5299403962413276,0.5272404973784157,0.5675383112909876,0.5427736377746237,0.5467143415308324,0.5398075919121951,0.5282877071746319,0.5253575984122472,0.5223437401516089,0.5488595747203142
I-0-1,0.5339546747472085,0.5260976959764287,0.4897692153252625,0.5074294615132294,0.5159677778933445,0.5245181780791641,0.5271049840162696,0.5710288224006466,0.5430153945806726,0.5454059376632483,0.5409764425279845,0.5283329506835548,0.5231741768261333,0.5226303063568289,0.549924093394669
I-0-2,0.5346071355796027,0.5252570528005799,0.4884904947727098,0.5075311392074271,0.5209157821838741,0.5237080021624496,0.5283789030498374,0.5709989136780775,0.5428234697098238,0.546447032210066,0.5407841464476604,0.5280009560665593,0.5232225688306693,0.5207733113865729,0.5522679536222872
I-0-3,0.5333735595696403,0.5246146921283296,0.4875656770572598,0.5062370133397438,0.5167034402751933,0.5270634081772803,0.5293022500803095,0.5684010133846195,0.5426267175370296,0.5460716824351142,0.539566141400029,0.5279786664259398,0.5224726002312153,0.5228846054768169,0.5483547880497275
I-0-4,0.5340324523636275,0.5263078549935146,0.4930104679337335,0.5066640338647983,0.5201945730338267,0.529014818850658,0.527362887401375,0.5686681060177876,0.5424751875026814,0.5462918139770228,0.5406696994270646,0.5279331572743104,0.5240961993088522,0.5240354443666615,0.5521961596038303
I-0-5,0.5335719196305826,0.52600091079711,0.4877315945009769,0.505077818994343,0.5145811951984082,0.5225549335793297,0.5271769388789996,0.5718045734928046,0.5429679628105313,0.5450518040826623,0.5405681286558195,0.5284340922099391,0.5255516874566311,0.5240711965012248,0.5494979399387188
I-0-6,0.5343465296244019,0.5246870977072614,0.4870287843889288,0.5066669153026022,0.5195307184780489,0.5269129448178576,0.5282368524554819,0.5715138718657988,0.5421055484113282,0.546066227602479,0.5411917808499833,0.5279131300746606,0.5251651716061572,0.5228732259019205,0.5471873676711935
I-0-7,0.5334625598168901,0.5257698842412172,0.4868223747683486,0.5077073211762217,0.5218505161168483,0.5247531268913013,0.5290690734349881,0.571052860270286,0.5426099754214071,0.5465308234080988,0.5410207782351482,0.5268581461834299,0.5255396153882972,0.5237889064380572,0.5519881549341297
I-0-8,0.5346030885282644,0.5239208543870937,0.4891019676148406,0.5062318892819249,0.5167965170224122,0.5267711630517105,0.5272577383969752,0.572463722501252,0.5423729431013942,0.5462145412762479,0.540135647971954,0.5282288514370805,0.5246684734502706,0.5235286091137965,0.5480711779249665
I-0-9,0.5351443972669907,0.5249808725943557,0.4868971207731842,0.5063468647308265,0.5211706233583537,0.5268597289704198,0.5276278664368277,0.568066594723284,0.5430258588350498,0.5466982335724968,0.5409538801587117,0.5267478545062957,0.5250862007462049,0.5225508298810821,0.5398297276012197
