,RGB_oc,RGB-clay_oc,RGB-sand_oc,RGB-silt_oc,RGB-clay-sand_oc,RGB-sand-silt_oc,RGB-silt-clay_oc,RGB-clay-sand-silt_oc,RGB_clay_oc,RGB_sand_oc,RGB_silt_oc,RGB_clay-sand_oc,RGB_sand-silt_oc,RGB_silt-clay_oc,RGB_clay-sand-silt_oc
I-0-0,0.5073845705164349,-0.0319755019236855,-0.1525848397930573,-0.1076647579211751,-1356.4594007766452,-354.89766559830394,-293.4586812929647,-7.912275937556343,0.501556940742732,0.499749023612747,0.5064876849220838,0.32503170354469757,0.3278200440650536,0.32959026799920943,0.488007830662205
I-0-1,0.5036094696779317,-0.0337189706327294,-0.1224375947952773,-0.1006285939827285,-3279.0778309630414,-2939.0134377565373,-2152.178268159201,-8.055188099319434,0.5037193555240495,0.5024856247996106,0.5012062194489977,0.3217697101889383,0.3192624132934607,0.3322977252562772,0.48113639287440146
I-0-2,0.5063966438944111,-0.0339347893468264,-0.1052215967349528,-0.1592791617593556,-3031.609717262117,-10.001784338974955,-2825.1476509269746,-7.8725003053324585,0.5029138417711962,0.5048559346578605,0.5073485192836473,0.3303967160854707,0.33256028136003213,0.3258336245340113,0.4789421852610156
I-0-3,0.5089967209757593,-0.0821264670242376,-0.1226982423539955,-0.1306072932486652,-3215.684353925428,-2379.828295134999,-2099.523468420197,-7.84268636485073,0.5040193655689096,0.5021495834142351,0.4966918737511198,0.32976582818475186,0.3271696622706627,0.33344403790551846,0.48594312263405837
I-0-4,0.5083712888104265,-0.0899088268509964,-0.1952088167549726,-0.1391690635469804,-485.05034712851074,-3163.7905074066302,-3721.239253203221,-7.837455091143999,0.500824300260554,0.5016906586710468,0.5014292853900341,0.3303059496522045,0.33351416185578064,0.3312974617641511,0.48463895120750256
I-0-5,0.5081625376247405,-0.0574853490376769,-0.1220226525826655,-0.1526290031894162,-3121.7495487897354,-10.238895465886506,-429.74876641394144,-8.024905513563816,0.5068750280664234,0.4990843416966464,0.5055532297815213,0.32998723556016685,0.32647192855798923,0.3179567836427879,0.4787159846125755
I-0-6,0.5046432970707803,-0.0687901855332062,-0.180824708876891,-0.1820961605991458,-2120.467513679783,-2010.0558237096104,-3299.374721828355,-7.899464111830785,0.5046749181510088,0.4986076738097832,0.5036635828109368,0.3208931970799924,0.3274848109473245,0.3190555434051854,0.48803666169116433
I-0-7,0.5078624896751578,-0.0222088108123708,-0.1662151088380343,-0.101139181475554,-474.5601654336788,-921.3926083390596,-2963.4876686988373,-7.871089669960993,0.504031430895858,0.5026501055086059,0.5046541338644834,0.33034795512380877,0.328484481045047,0.32991857950437864,0.4802406876443044
I-0-8,0.5058001866223002,-0.0546725466892428,-0.134833536461215,-0.1032135651831112,-3273.344004417294,-267.271630543208,-272.6889249723931,-7.835967336671745,0.5013034657561082,0.4956878286539126,0.5006601034057494,0.33462059234474806,0.33218271656866416,0.33278345269997456,0.48760112343329054
I-0-9,0.5094976599948587,-0.0783142773323899,-0.1787480995687311,-0.1688189667138049,-3225.0111073982707,-3404.474718626539,-323.1526765685703,-7.989636597555458,0.500916498655263,0.4989794488865237,0.4991327140984969,0.3335665732080155,0.332156376344212,0.3205359940879843,0.4846867472382156
