,RGB_oc,RGB_clay_oc,RGB_sand_oc,RGB_silt_oc,RGB_clay-sand_oc,RGB_sand-silt_oc,RGB_silt-clay_oc,RGB_clay-sand-silt_oc
I-0-0,0.4716464676862392,0.49789121584465046,0.472046829466904,0.5130652932107844,0.4856504759067526,0.43187693815075057,0.45646565824118035,0.42792625952581564
I-0-1,0.5557146560694387,0.5486685432817292,0.5560819483981116,0.5225620323257296,0.48401705161822295,0.492224865643052,0.24218817615773336,0.4588891643225568
I-0-2,0.4978507318268356,0.5513493999949342,0.4550782129292157,0.6005316056157759,0.5087691459113932,0.46394253493551674,0.5665960247899654,0.541939806319701
I-0-3,0.5261095198697243,0.5113487828663836,0.4919085121854553,0.5704100825222234,0.5593338117252165,0.5637628531369916,0.4803727427597412,0.33070427902108157
I-0-4,0.568157106706503,0.48341504243138045,0.5352733214418185,0.49796287086523217,0.5049033289705218,0.5313608605158169,0.48382240722491043,0.4048627938646774
I-0-5,0.5406613522513538,0.5549405244110381,0.5065096835638381,0.5629431886720093,0.5004690468321724,0.4610243799476652,0.47361078274005286,0.47536054658979277
I-0-6,0.4915100875430731,0.4750345866032005,0.5056962067190762,0.4200177633132741,0.401624944699676,0.4647820786314637,0.4957401370474921,0.6534674894969381
I-0-7,0.5231073463911681,0.5967499525225879,0.4899504150009155,0.5810464885797261,0.577552102438068,0.4786376584567259,0.4388959532651848,0.4984780602580382
I-0-8,0.5358150984735417,0.5616232026182646,0.6021769365785323,0.49197744617865546,0.3702650348844405,0.48791903698856653,0.4899092164004384,0.48506592848819896
I-0-9,0.3392779714661668,0.459708126073719,0.5125115926521752,0.5684228948451526,0.5415382845517054,0.4695926078500775,0.562522533448583,0.4561208596798567
