,ANN
RGB_oc,0.507
RGB-clay_oc,-0.055
RGB-sand_oc,-0.148
RGB-silt_oc,-0.135
RGB-clay-sand_oc,-2358.301
RGB-sand-silt_oc,-1546.097
RGB-silt-clay_oc,-1838.0
RGB-clay-sand-silt_oc,-7.914
RGB_clay_oc,0.503
RGB_sand_oc,0.501
RGB_silt_oc,0.503
RGB_clay-sand_oc,0.329
RGB_sand-silt_oc,0.329
RGB_silt-clay_oc,0.327
RGB_clay-sand-silt_oc,0.484
