,ANN
RGB_oc,0.642
RGB-lc1_oc,0.682
RGB-lu1_oc,0.639
RGB-lc1-lu1_oc,0.701
RGB-lc1_oc,0.752
RGB-lu1_oc,0.713
RGB-lc1-lu1_oc,0.749
