,ANN
RGB_oc,0.534
RGB-clay_oc,0.525
RGB-sand_oc,0.489
RGB-silt_oc,0.507
RGB-clay-sand_oc,0.519
RGB-sand-silt_oc,0.526
RGB-silt-clay_oc,0.528
RGB-clay-sand-silt_oc,0.57
RGB_clay_oc,0.543
RGB_sand_oc,0.546
RGB_silt_oc,0.541
RGB_clay-sand_oc,0.528
RGB_sand-silt_oc,0.524
RGB_silt-clay_oc,0.523
RGB_clay-sand-silt_oc,0.549
