,RGB_clay-sand_oc,RGB_clay-sand-silt_oc
I-0-0,0.35600499694679943,0.4829258037499007
I-0-1,0.2725322391693279,0.45617082531110387
I-0-2,0.3399086559855564,0.4533655799787314
I-0-3,0.3456749047656419,0.5011032723391351
I-0-4,0.32972548096786813,0.4186494575259313
I-0-5,0.33522264923539846,0.547258418824404
I-0-6,0.34629898989441865,0.5270967864329651
I-0-7,0.33727365842274415,0.48373974428182154
I-0-8,0.26059853053831705,0.536430563712849
I-0-9,0.3462933540280252,0.48852779929861057
