,RGB_oc,RGB_oc
I-0-0,0.5011175617844768,0.5125748321538851
I-0-1,0.5081782827441667,0.5107197969847403
I-0-2,0.5049696312316349,0.505184562156594
I-0-3,0.503482424523658,0.5149059303938781
I-0-4,0.5080900620109712,0.5022507833587921
I-0-5,0.5033974926508327,0.5072784951646542
I-0-6,0.505336325242305,0.503695494716865
I-0-7,0.49981973014958025,0.5070271776531745
I-0-8,0.5039666062357422,0.5106646532701378
I-0-9,0.5068670039946046,0.5057304305151967
