,ANN
RGB_oc,0.522
RGB_clay_oc,0.509
RGB_sand_oc,0.498
RGB_silt_oc,0.48
RGB_clay-sand_oc,0.323
RGB_sand-silt_oc,0.32
RGB_silt-clay_oc,0.329
RGB_clay-sand-silt_oc,0.47
