,RGB_clay_oc,clay_oc,RGB_oc,RGB-clay_oc
I-0-0,0.5429107268412842,0.04380119889340517,0.5345231814426025,0.5257738951408386
I-0-1,0.5427873108228531,0.0455184025846459,0.5326368261477437,0.5249238403216787
I-0-2,0.5411480912379383,0.045446624140998315,0.5328163086640899,0.525493128158449
I-0-3,0.5428662536468846,0.04287691652601355,0.5344001600301501,0.5245386818236408
I-0-4,0.5422868371025471,0.046459099851214214,0.5340495240143218,0.5247728541781764
I-0-5,0.5395962462245273,0.04356612491235767,0.5342424019425824,0.5262493237214887
I-0-6,0.5395660772178972,0.04236412365471598,0.5352213851925629,0.5269292845326885
I-0-7,0.5427617375512872,0.04363174292688454,0.5326115879882225,0.5256194292668536
I-0-8,0.5429133092806815,0.04223938069651301,0.532967877474188,0.5255536254279827
I-0-9,0.54308389997405,0.044218736239769574,0.5347070224745756,0.5261729130152428
I-1-0,0.5430385715813969,0.04225567656373663,0.5349802141128615,0.5244633326451984
I-1-1,0.5422891983310737,0.04351908312739827,0.5342933754737755,0.5246785575435036
I-1-2,0.5412983995161081,0.04087642431439675,0.5325903514672681,0.5253097431286231
I-1-3,0.5421139409848095,0.04526966755829265,0.5309205728497501,0.5256253218863831
I-1-4,0.5427533288000668,0.04380695312986205,0.5333557103335536,0.5254443160197386
I-1-5,0.5436907737935901,0.04265434674403101,0.534065847112646,0.5248716585037496
I-1-6,0.5420419141340217,0.04322069949319807,0.5341181372164456,0.5258490950574317
I-1-7,0.5434021300307238,0.04455217057374283,0.5336824404916857,0.5244051817871076
I-1-8,0.5433918547022738,0.043533220725089805,0.5325708715228998,0.525918906787072
I-1-9,0.5428303143882053,0.047492389152756664,0.5343646162428692,0.5255866020064522
I-2-0,0.5423117967126366,0.04447670649895441,0.5347726946440208,0.5251929836619795
I-2-1,0.5426696401519637,0.043694571618892675,0.5339146277372953,0.52563561525935
I-2-2,0.5427856166679053,0.04552662712409916,0.5350127872575086,0.5256581724755005
I-2-3,0.543071968658372,0.044024763397226274,0.5337162481805773,0.5256534699235611
I-2-4,0.5415841125523093,0.042553038039432556,0.5339840694917314,0.5251697449538213
I-2-5,0.5426372421428141,0.04249951719817591,0.5320560003604156,0.5263790017976586
I-2-6,0.5419274574560842,0.042323649214043635,0.5345723087188325,0.5242907743140849
I-2-7,0.5424319910258695,0.043448052886655875,0.5339942641521909,0.5268099973068889
I-2-8,0.5424650951270601,0.043434271821331194,0.5351937952140544,0.5250512494322913
I-2-9,0.5427997284098651,0.04211132923335237,0.5332897554774291,0.5253569959263138
I-3-0,0.5412185212211981,0.04350152124184159,0.5335681936616277,0.524299149481492
I-3-1,0.5430298067191759,0.04102164365097538,0.5327222192398795,0.5261591461868742
I-3-2,0.5417029097943191,0.037558069816919004,0.5339074251010469,0.5268384030498174
I-3-3,0.5422237721336038,0.041876740167266946,0.5340943293447038,0.5242749668976179
I-3-4,0.5422008979709212,0.043493156139967626,0.5342891155450165,0.524220109743273
I-3-5,0.5423938272989002,0.04600679666023777,0.5349438560651516,0.5241519046665342
I-3-6,0.5427032090332125,0.043419305617715565,0.53396561409182,0.5251962245675155
I-3-7,0.5431818299350801,0.042894284878251976,0.5342132939196761,0.52675295906638
I-3-8,0.5422606697117085,0.04319548415562002,0.5337585383558876,0.5246277295080268
I-3-9,0.5431290036840006,0.04287908472392554,0.5335088068692574,0.5246819241940792
I-4-0,0.5427574750154669,0.04093700683320456,0.5351828604895581,0.526363202072405
I-4-1,0.5427717292681623,0.038816790618053876,0.5344926611988008,0.525013735150277
I-4-2,0.54279018138369,0.04395974926453283,0.5338318091078822,0.525880473414879
I-4-3,0.5423369699406353,0.04361289239611088,0.5345370577450848,0.5244836944968705
I-4-4,0.542601773397988,0.044221856053753617,0.5318957667310513,0.5260172259294034
I-4-5,0.5428331350569356,0.04463463782775512,0.5333044297870688,0.5256961700413616
I-4-6,0.5409479979667791,0.043501068452279634,0.5342180591723198,0.5253760215590426
I-4-7,0.5428909388657714,0.04191384831443723,0.5333105169314911,0.5255797539610548
I-4-8,0.5430754366254301,0.04181245797814015,0.5336702097273878,0.5257236643159149
I-4-9,0.5420022144407968,0.04233955759523467,0.534202517715364,0.5260447334535046
