,ANN
RGB_oc,0.505
RGB_clay_oc,0.524
RGB_sand_oc,0.513
RGB_silt_oc,0.533
RGB_clay-sand_oc,0.493
RGB_sand-silt_oc,0.485
RGB_silt-clay_oc,0.469
RGB_clay-sand-silt_oc,0.473
