,ANN
RGB_phc_oc,0.64
RGB_phh_oc,0.644
RGB_ec_oc,0.645
RGB_caco3_oc,0.64
RGB_p_oc,0.644
RGB_n_oc,0.644
RGB_k_oc,0.646
RGB_stones_oc,0.642
