,ANN
RGB_oc,0.573
RGB-rr-lc1_oc,0.653
RGB-rr-lu1_oc,0.64
RGB-rr-lc1-lu1_oc,0.685
RGB-rr-lc1_oc,0.716
RGB-rr-lu1_oc,0.642
RGB-rr-lc1-lu1_oc,0.718
RGB-rr-lc1_oc,
RGB-rr-lu1_oc,0.589
RGB-rr-lc1-lu1_oc,
