,ANN
RGB-phc_oc,0.613
RGB-phh_oc,0.613
RGB-ec_oc,0.615
RGB-caco3_oc,0.614
RGB-p_oc,0.609
RGB-n_oc,0.609
RGB-k_oc,0.611
