,RGB_oc,RGB_clay_oc,RGB_sand_oc,RGB_silt_oc,RGB_clay-sand_oc,RGB_sand-silt_oc,RGB_silt-clay_oc,RGB_clay-sand-silt_oc
I-0-0,0.5385577888525332,0.5368403242980553,0.4708181733797493,0.5212519722865167,0.29772544824024394,0.3089017211044549,0.32723438986626596,0.5117737682471917
I-0-1,0.4720940422634654,0.47879369972476216,0.5197131899733854,0.45513636508375166,0.3210902411208668,0.2797846717349366,0.32653809064641615,0.42027924588252763
I-0-2,0.517460132151663,0.472636014823845,0.47222745483757544,0.4827544297907721,0.349193536688825,0.32468912445535847,0.29337039788400787,0.4449252656890811
I-0-3,0.49640724258934044,0.47326603351033647,0.4988713248343446,0.46100425835634173,0.3507135413004213,0.3268934121674182,0.3258055979338167,0.43817969040347915
I-0-4,0.5655699163094654,0.44230064038653083,0.5304120147764504,0.47573371925199504,0.3209004014109559,0.3579503703001078,0.34534523095277325,0.5060678216640047
I-0-5,0.5091780429112642,0.5446712900716104,0.49348547731752146,0.5182962311121513,0.32020470487470787,0.2947170482811211,0.3096603844869277,0.5073854998272589
I-0-6,0.5381018930249206,0.58016547469775,0.5534116385826198,0.48494209098135677,0.2952013468598029,0.33634342322070687,0.31737301670186757,0.4384683159924624
I-0-7,0.5609691556207616,0.5375592325306922,0.4585172790747436,0.4590806590481946,0.36963852762285576,0.32377788198723023,0.34507552431685085,0.4455466758285337
I-0-8,0.48887381750196424,0.47413696494686697,0.531001390709727,0.46919322366771576,0.3073709835613766,0.3191569678186337,0.3564808184698852,0.4744994383464295
I-0-9,0.5285456566242651,0.5517403199511837,0.4529348322751162,0.47522935005545264,0.30222585914185196,0.33012053831612453,0.34732298628537117,0.5133998684835948
