,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6759460123860455,0.6778883845547639,0.6877204385446272,0.686551428106408,0.6742970726288682,0.0,0.0,0.0
I-0-1,0.6856275042664407,0.6817906639000724,0.6830664057758489,0.6862504430945033,0.6767847434191346,0.0,0.0,0.0
I-0-2,0.6779534259825247,0.6331578415749886,0.6772302066795881,0.6579957387915993,0.6662491476274451,0.0,0.0,0.0
I-0-3,0.6826662785916058,0.6759466751879506,0.6746958795250325,0.685137127616978,0.6568833834301572,0.0,0.0,0.0
I-0-4,0.6680743842846102,0.664320861011372,0.6787783112197163,0.6697597298859704,0.6810260983216441,0.0,0.0,0.0
I-0-5,0.6870237495587976,0.6860964643683776,0.6762649835797696,0.6891451765884997,0.6871402497878139,0.0,0.0,0.0
I-0-6,0.6850951346583969,0.6786504491477348,0.6639283032901573,0.6782960714598043,0.6873672525833681,0.0,0.0,0.0
I-0-7,0.6785914878908047,0.6866914128900139,0.6739320793213728,0.6857195625298425,0.6768452959517441,0.0,0.0,0.0
I-0-8,0.68393549767843,0.6842404485935778,0.6821081537717992,0.6765457660626786,0.0,0.0,0.0,0.0
I-0-9,0.6837511475788696,0.6820989682919012,0.685164557553223,0.6792044563052416,0.0,0.0,0.0,0.0
