,RGB_sand_oc,RGB_silt_oc,RGB_sand-silt_oc
I-0-0,0.4555552934343532,0.43170742281498675,0.3021408954898537
I-0-1,0.5200581354702488,0.4614681759346272,0.32911109501174374
I-0-2,0.51692143420513,0.501281208814375,0.324400716859197
I-0-3,0.5236689566292764,0.4753506348175013,0.36862688692469114
I-0-4,0.5767144908220599,0.5142195635685367,0.34515150465886646
I-0-5,0.5175438275563187,0.5063681316908175,0.33208724630287445
I-0-6,0.5516409221097559,0.5387400661854187,0.33404488323749415
I-0-7,0.45102567393854964,0.5591460979875399,0.32751559822782905
I-0-8,0.496157419386577,0.4460771074436689,0.2798801850404645
I-0-9,0.4211741982262036,0.5255758445917331,0.29623766622348946
