,ANN
RGB_oc,0.639
RGB-elevation-lc1_oc,0.742
RGB-elevation-lu1_oc,0.726
RGB-elevation-lc1-lu1_oc,0.745
RGB-elevation-lc1_oc,0.775
RGB-elevation-lu1_oc,0.728
RGB-elevation-lc1-lu1_oc,0.721
