,ANN
RGB_oc,0.609
RGB-phc_oc,0.706
RGB-phh_oc,0.686
RGB-ec_oc,0.653
RGB-caco3_oc,0.608
RGB-p_oc,0.627
RGB-n_oc,0.885
RGB-k_oc,0.612
