,RGB_oc,RGB_clay_oc,RGB_sand_oc,RGB_silt_oc,RGB_clay-sand_oc,RGB_sand-silt_oc,RGB_silt-clay_oc,RGB_clay-sand-silt_oc
I-0-0,0.5099247494468943,0.525114856672251,0.4665336166723425,0.4747911792251812,0.5367238158303462,0.0,0.0,0.0
I-0-1,0.4165440647437657,0.46771086872905054,0.48276888285914854,0.5391572542647161,0.42886357934210584,0.0,0.0,0.0
I-0-2,0.4968037085215421,0.4896150264976805,0.5761361482077109,0.4583702082333809,0.50709136153327,0.0,0.0,0.0
I-0-3,0.4733219759067523,0.4438819972207406,0.5589726834726759,0.5715101457278213,0.4525963899084876,0.0,0.0,0.0
I-0-4,0.5491529210829518,0.4669877579346918,0.43427992770458856,0.4452138174823932,0.5329691641705638,0.0,0.0,0.0
I-0-5,0.41148958666948143,0.5010402407207747,0.5304606420895258,0.5873031448369215,0.40011629141298255,0.0,0.0,0.0
I-0-6,0.528105961277368,0.5578002064357548,0.5557864571052522,0.5529022803412018,0.4745958200677779,0.0,0.0,0.0
I-0-7,0.45249429170542976,0.4980166522348627,0.5512259409944614,0.4490840484970646,0.4134306348893988,0.0,0.0,0.0
I-0-8,0.513395873001925,0.5124981172279897,0.532037442538512,0.5167536721650947,0.0,0.0,0.0,0.0
I-0-9,0.5192381923713147,0.4778916718069973,0.5252439817196075,0.5306704451496975,0.0,0.0,0.0,0.0
