,ANN
RGB_phc_oc,0.676
RGB_phh_oc,0.677
RGB_ec_oc,0.676
RGB_caco3_oc,0.683
RGB_p_oc,0.681
RGB_n_oc,0.682
RGB_k_oc,0.675
RGB_stones_oc,0.681
