,RGB_oc,phc_oc,oc_phc,RGB-phc_oc,RGB_phc,RGB-oc_phc,phh_oc,oc_phh,RGB-phh_oc,RGB_phh,RGB-oc_phh,ec_oc,oc_ec,RGB-ec_oc,RGB_ec,RGB-oc_ec,caco3_oc,oc_caco3,RGB-caco3_oc,RGB_caco3,RGB-oc_caco3,p_oc,oc_p,RGB-p_oc,RGB_p,RGB-oc_p,n_oc,oc_n,RGB-n_oc,RGB_n,RGB-oc_n,k_oc,oc_k,RGB-k_oc,RGB_k,RGB-oc_k
I-0-0,0.5990457793323425,0.2845835059235005,0.1220017829978113,0.7205866856192756,0.1725318317363281,0.2163369805109474,0.1617338192453015,0.1036495646091989,0.6960603988571459,0.1550008136609242,0.1983521819245223,0.1954003252881517,0.208646685639377,0.6476468578573209,0.1481011349980264,0.2354196154677933,0.012055866619288,0.0137516192823878,0.6134777168102454,0.1737054506131693,0.1786965738208512,0.0639950093881597,0.061612593277105,0.6303460926559852,0.0757837470459192,0.088521202897313,0.8470180359526369,0.8539444890934437,0.8975128833584728,0.6021344729168293,0.8927621983303143,0.008733966919784675,0.00672361744021277,0.6184244742717031,0.024303672342659843,0.02317567235794704
I-0-1,0.7099795937484921,0.3090636275404606,0.1286929398954698,0.7762333117850844,0.1790352057960763,0.2106889832266923,0.1888533860376939,0.1129289099615833,0.7668690901599773,0.1664778908967215,0.1980046249760589,0.1937425376140878,0.1734955637708651,0.7474262377817082,0.1284305271516903,0.2085369479857506,0.0048944937520728,0.0092639443237839,0.7084223905825185,0.1523728381594618,0.1546396241128922,0.0797679777417688,0.0807825525498548,0.7365751509056708,0.0675905111020773,0.0954243579318894,0.874516399671066,0.8761038336338135,0.9144935853033187,0.6813294680959094,0.9043398688988569,0.0008740387010824913,0.005716733810992802,0.7301823458563759,0.013430692183728499,0.02031657132862774
I-0-2,0.5431682558713153,0.3239567490382278,0.1362010819948453,0.6767207814329584,0.1836786433684317,0.2213577860967449,0.1139370622443252,0.1147669546821739,0.6424752727670142,0.1687112170731357,0.2019788418788263,0.1499856259086555,0.1705933239839716,0.584045505938602,0.0987431824670242,0.2041260161147813,0.0130195030863594,0.0128255516814516,0.5515680927769305,0.1119227430417013,0.1196733246029396,0.0433987425757464,0.0363571746492977,0.547886954732434,0.079742577763884,0.07362543192356341,0.8542808469554016,0.8554817449744795,0.887538975769838,0.5600943576848428,0.8917445184239026,0.0042528641335187745,-0.002303126718029569,0.5650394905942484,0.017569247378764308,0.032177911808577986
I-0-3,0.61862102218575,0.295415088807217,0.1150110155632232,0.7305992025322023,0.177191109264697,0.2174447072412477,0.0978645306989873,0.0990775099544717,0.7013233470394863,0.1615271486868441,0.2032431984906387,0.1375383592041483,0.212023774084776,0.6349679972553729,0.0981373659090133,0.2345975859724363,0.012195618570132,0.0138933391486897,0.6241993378479885,0.1810655974021302,0.182358231459131,0.0344736919275524,0.037318010295226,0.6275880425782638,0.0449082781256188,0.051896022981477,0.8348023168868357,0.8539095973552631,0.8767590559181466,0.6143527810743823,0.8892958446340676,-0.0017620798176960495,-0.004329590395009575,0.6218178120013931,0.013307217509137215,0.017827984087427695
I-0-4,0.6331516775650393,0.3359241299728309,0.131937167521474,0.7405819859471225,0.1857844291623457,0.2165955509246647,0.112553298930638,0.1099727369802461,0.7096486175740495,0.168185856120885,0.2025041287289942,0.1498668204173117,0.1192515545922235,0.6866704168453068,0.0494214709503856,0.13552233792427,0.0101834486501366,0.0112015119350594,0.6337597967574915,0.1660892693877717,0.1722369155546979,0.0752638823020931,0.0797565777172021,0.6506868290534334,0.0884561531322061,0.10110019333714249,0.8714772198578117,0.8655456879999566,0.8980291721056847,0.5620224030173997,0.8786752485313172,0.009796496479120953,-0.004612379348035267,0.659266547714974,0.012130832227020494,0.02583813560452808
I-0-5,0.5996441746109827,0.3167783886436065,0.1291811162089011,0.7037953377915673,0.1788997189623749,0.2146410726976622,0.1105488264701149,0.1094642568322412,0.6717124539999488,0.1625935269466939,0.2007692328090886,0.1793735437225989,0.2305164792100842,0.6349956249212807,0.146988599859325,0.2691352987487342,0.0135012758504226,0.0135332437728575,0.6088086615605759,0.1144442233243162,0.1265849238639635,0.0710569609981047,0.0727100307421806,0.6351065695338236,0.0766708718484897,0.10274651408539626,0.8558287697179661,0.860623207284508,0.8909454421981708,0.5840023149335876,0.8904960903498733,0.010568072912798043,-0.004743731346687596,0.6305058103023279,0.02075249207231733,0.043242264556639154
I-0-6,0.6722769963994792,0.2441409108816662,0.1280476370086778,0.7498951395472686,0.1904512272835407,0.2346820290362594,0.1090307555575216,0.1089749941377131,0.7299905389255175,0.174754112277919,0.2166944634796463,0.1575087531883664,0.1236357388083414,0.6997143723721091,0.1062945846341183,0.1552541413474845,0.0151136109124367,0.0136987725502502,0.6835070844147844,0.2070762560899062,0.2075386838932472,0.0535986406345858,0.0391877171946873,0.6983503166920435,0.0474681754006377,0.05126339298150562,0.879256058260882,0.8569303284476139,0.9016258110073503,0.6349332472428799,0.8824909676723324,0.0005577575445822047,-0.009667215325323442,0.6952072760554207,0.004008866774197983,0.012293429232556274
I-0-7,0.654118469277176,0.2846479796908556,0.1280914100287749,0.7559669678310528,0.1629674749399516,0.1964379583719395,0.1098221973269824,0.1099659548908466,0.7316156047186496,0.1514371473699327,0.1784369442515919,0.2165045417458778,0.2045894599397568,0.71159583459523,0.0994047599146941,0.2225343738540306,0.0124266303193757,0.0115290810176652,0.6601847652115376,0.1773098942262204,0.1810542268383639,0.0488318491021086,0.0452924165275174,0.6800182813216222,0.0598466341106647,0.06082353210183633,0.8946659075440533,0.8818667279620251,0.9181024537743426,0.5974167620382729,0.9038105233087735,0.005661948765043556,-0.009674832819531742,0.6932769976873816,-0.006578229528318547,0.01683189575338806
I-0-8,0.6102298144434628,0.2588126559504891,0.1051274638591598,0.6817205160652391,0.1776788689805897,0.2070805404963505,0.0908827729668804,0.0925112052446076,0.6583380776531735,0.1610725616468558,0.1949133328865462,0.1608293858020696,0.1944196373518734,0.6618253369453657,0.0939542840711847,0.1899205806923889,0.0140042920640872,0.0145280641056017,0.6104028632743512,0.1787922298014184,0.1852392472857641,0.0763273613143712,0.072422942726553,0.6422321997030709,0.0654215529173891,0.0869915290875648,0.8632733326933018,0.8549363613673344,0.8898288349849769,0.5627375971817346,0.8802325263203293,0.005151523658422863,-0.005182444102637351,0.6377881414188938,0.0032781687589501507,0.01487072961996394
I-0-9,0.6588524170972127,0.3161387785846141,0.1283535655656777,0.7393600487867809,0.1881801540065687,0.2141125985902167,0.1099228360381937,0.1100120017430517,0.7226985236113033,0.1702911357120629,0.1980160427579385,0.1760159597580417,0.1442386531317357,0.7064172406501872,0.0873471118454437,0.1607637427695566,0.0121992312733857,0.0081929594988444,0.6633019757156438,0.1498459038925007,0.1601655996251242,0.0647259033099095,0.0522768312180392,0.6944096193551421,0.0745798710554512,0.07328352907822067,0.8778191950313666,0.8787205250827553,0.9150899770231921,0.6203131879706341,0.8943428126236443,0.00658191311539047,0.0034565696979300675,0.6783504095775191,0.009641091326951456,0.019542930984648765
