,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6730990409772242,0.6777219641464807,0.6866396741049705,0.686464081681763,0.6768741609443892,0.6875991430399875,0.6868990648264934,0.6756483469846299
I-0-1,0.6710587656647289,0.6758622463541273,0.6719231032829018,0.6808095840712497,0.6816664882321821,0.6857839812542834,0.6877733173788181,0.6651986987383087
I-0-2,0.6815482518799565,0.6826368988056561,0.6860744562741695,0.6805466739661583,0.6814119532611569,0.6858438282533668,0.6553216068584242,0.6799774738075846
I-0-3,0.6495073126894215,0.6619165810302365,0.6861730631056155,0.6830579676276638,0.6737059136204062,0.6759364373147307,0.6865121296051626,0.6811225085668358
I-0-4,0.6774790869370588,0.6776675934402208,0.6626795160330115,0.6866954224149167,0.6798732023310128,0.6823973448697014,0.6816640479265346,0.6868791838278795
I-0-5,0.6714794535947499,0.6864937496407659,0.6820657183647751,0.686119057195177,0.6760556548056013,0.6734612409918954,0.6813413564290189,0.6839922810168741
I-0-6,0.6854859958216082,0.6758361628018772,0.6799707323307475,0.6880115864429092,0.6881134878705681,0.6875190429171154,0.6580353001392407,0.6811692695976812
I-0-7,0.6856635257032639,0.6849831141647604,0.6619845570853065,0.6893591744807493,0.6861507079293189,0.686485447294396,0.6751008291141811,0.6833755302517336
I-0-8,0.6806036038200785,0.6821135502821384,0.680736198561002,0.6726464993403853,0.6858864299958027,0.6837536339108345,0.6804366184068373,0.6868585286180181
I-0-9,0.6840170063822784,0.6681517934721014,0.6658769101570542,0.6718092434807412,0.6842794301757564,0.674482222018268,0.6612067715102139,0.6818268318026282
