,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6479427320170513,0.6515287176064815,0.6346635541234711,0.6494600005291408,0.6476467541045612,0.648449845552273,0.6417239825444027,0.6428703463993337
I-0-1,0.649523852538345,0.6493614972360096,0.6455106718368835,0.6490172161575448,0.6502503886324581,0.6491140659638983,0.6392281921844101,0.64831270395093
I-0-2,0.6503441758351436,0.6375826332807177,0.652546744367438,0.643369816256186,0.6310353296872975,0.6463091546023052,0.6203183706046115,0.6396723476907413
I-0-3,0.6419779819808307,0.6483283659772014,0.6420116103030209,0.6450560833000683,0.6405150375339798,0.6480117702278498,0.6558978586113948,0.6342188355043679
I-0-4,0.6565375451630232,0.6481305178234191,0.6454912016300878,0.6466644359548328,0.650636588013931,0.6465258083953811,0.6435702131546204,0.6486626226105808
I-0-5,0.6406001268964165,0.6375253529330305,0.6463944288983908,0.645666127096985,0.6418821804403606,0.6246943120992501,0.6367248334026543,0.6475389408219123
I-0-6,0.6470665645736988,0.625326384500401,0.6263678858477266,0.6490675675321745,0.651121643549862,0.6514649321324985,0.6362800485260482,0.64868696346617
I-0-7,0.6406297016354157,0.6357405693386327,0.6382949673813583,0.6472670384801921,0.6486173914399065,0.6514825874256138,0.624499840035377,0.6464339367717382
I-0-8,0.6475825558043234,0.6343496163219573,0.6444645359011902,0.64697436548765,0.6381335837206676,0.6451555608845034,0.6395061283054957,0.6405973898220787
I-0-9,0.652393420723826,0.6446534080052897,0.6473235752265083,0.6415604970617586,0.6482870910384289,0.6355005168901802,0.6363318288194528,0.6397715067190828
