,ANN
RGB_phc_oc,0.647
RGB_phh_oc,0.641
RGB_ec_oc,0.642
RGB_caco3_oc,0.646
RGB_p_oc,0.645
RGB_n_oc,0.645
RGB_k_oc,0.637
RGB_stones_oc,0.644
