,ANN
RGB_phc_oc,0.643
RGB_phh_oc,0.642
RGB_ec_oc,0.643
RGB_caco3_oc,0.644
RGB_p_oc,0.644
RGB_n_oc,0.646
RGB_k_oc,0.641
RGB_stones_oc,0.643
