,RGB_phc_oc
I-0-0,0.6764305323995533
I-0-1,0.6733458879385263
I-0-2,0.6751642190177678
I-0-3,0.6856501744213597
I-0-4,0.6810482037170484
I-0-5,0.680298986933694
I-0-6,0.6873336340744859
I-0-7,0.6847143666477055
I-0-8,0.6794510663730929
I-0-9,0.6580267734589222
