,RGB-phc_oc,RGB-phh_oc,RGB-ec_oc,RGB-caco3_oc,RGB-p_oc,RGB-n_oc,RGB-k_oc,RGB-stones_oc
I-0-0,0.7567139857363665,0.7385088214191504,0.7327987159075819,0.6950613395026994,0.7087157998499216,0.9102151776068879,0.7381753490600775,0.7048683883444962
I-0-1,0.7546651098405525,0.7450750932279226,0.7049304838085926,0.7209200251474034,0.7019442521687309,0.9043064293677379,0.7137411803273828,0.7109527164301431
I-0-2,0.7486785505797156,0.742011390341791,0.7319322552112844,0.7191800937288912,0.7257776349215443,0.9091321577639864,0.7274737646762685,0.6993571990331253
I-0-3,0.755130291316033,0.7283246451154373,0.7389210371248882,0.7085013652219301,0.695767717300698,0.8920288258603548,0.7330436352873021,0.7032874829010882
I-0-4,0.7342147051166336,0.7339375676318776,0.7361396434608217,0.7096652932283416,0.7065007426854071,0.9019903218963037,0.7235186219360574,0.7020406486304334
I-0-5,0.7633421905912993,0.7443663247224097,0.7270074400162225,0.6883344182884625,0.7314995568437299,0.9075192233751345,0.7180993573913654,0.6919423873089373
I-0-6,0.7483481861252111,0.7321623395378394,0.7328297893178721,0.7182674907478361,0.718902216998142,0.9085465064315317,0.7165648720759181,0.691398054408632
I-0-7,0.7461680300616169,0.7339315500229608,0.7256348468586964,0.709035388811978,0.7223690336648394,0.9094431706609986,0.7364112004094187,0.6930842462368052
I-0-8,0.7518085049078189,0.7403003931145232,0.6971072603938266,0.7110175303417865,0.7287375038112565,0.902297976909407,0.7152612271030001,0.7038251421238734
I-0-9,0.7519592930266024,0.745235328448708,0.7333118827532095,0.7204240627239339,0.7271040158777202,0.9063785311932077,0.6684647554204328,0.7074690622613553
