,ANN
RGB_phc_oc,0.681
RGB_phh_oc,0.675
RGB_ec_oc,0.678
RGB_caco3_oc,0.679
RGB_p_oc,0.675
RGB_n_oc,0.676
RGB_k_oc,0.674
RGB_stones_oc,0.667
