,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6847262533425873,0.6866948441337049,0.6866161510690485,0.6815904312496089,0.688189387156324,0.6833323745246609,0.6829306078591846,0.6740564349039275
I-0-1,0.6562166998906096,0.6744725186747376,0.6408401320987198,0.6713938118192249,0.6881606619265812,0.6831511936253163,0.6676637487307024,0.6571333367577552
I-0-2,0.6832859166808845,0.6862182177323968,0.6865319113404058,0.6783786003791683,0.6848146677689854,0.6841145181540327,0.6855562207005741,0.6787741227588182
I-0-3,0.6862324459280009,0.683533596649345,0.6892574970507301,0.6544002148773225,0.651091843801112,0.6822816128825626,0.6512616638220092,0.6863127255770607
I-0-4,0.6883611567778496,0.6829477824737948,0.6677706515521569,0.6801114577859735,0.6828593709074506,0.6724450370172583,0.6835256134169965,0.6845849800231627
I-0-5,0.6722443905114006,0.6826983814275019,0.6542757474769555,0.6853115111790056,0.6614546473135193,0.6644004319236265,0.6868730080702699,0.6807497316485613
I-0-6,0.6877354010405379,0.6835756294659636,0.6695428894140493,0.6795566091201912,0.685403915717347,0.6835804681404903,0.6790664615468127,0.6807290443944283
I-0-7,0.6818980685069052,0.6709992049727198,0.6840512671501314,0.6886555888156927,0.6709759954477108,0.6805505963104183,0.6673470774322391,0.676235256154308
I-0-8,0.6534250472930418,0.6834173358952447,0.6716186811910138,0.6687565215507656,0.6818476257200625,0.6816667426408051,0.6716643529420119,0.6884623476795475
I-0-9,0.6821675295679188,0.6823860385638356,0.6695547457491531,0.6608119528655302,0.6893084857116762,0.6817594630659519,0.6856402199201599,0.6882458212196942
