,phc_oc,phh_oc,ec_oc,caco3_oc,p_oc,n_oc,k_oc,stones_oc
I-0-0,0.3379745638485081,0.18241953733015015,0.16963815333688692,0.025402109599479195,0.07223398829179772,0.8593332913129794,0.0132080939310657,-0.00017649784582207673
I-0-1,0.3362672364742566,0.17778561590708497,0.16775574146832828,0.024719854284441234,0.07657284181323798,0.858595200355006,0.008308628538092888,-0.0018670234206565883
I-0-2,0.3383990974468747,0.18199944094884624,0.1705472121650915,0.022093415415434414,0.07637989862497085,0.8629815922343932,0.012564094048781782,-0.0018182262421206907
I-0-3,0.33532513768650685,0.18545523681362652,0.16701202352047306,0.02501306188086516,0.07518618889869577,0.8631221405903275,0.012928694561910148,2.7992816972632895e-05
I-0-4,0.33714066666844145,0.17735411880704732,0.1708305370130927,0.025640770543161384,0.07708494505522512,0.8617904446765418,0.013062222577020166,5.275361061318762e-05
I-0-5,0.3377964896455813,0.18802757861058972,0.16934746348944196,0.02560016862863357,0.07212004615678103,0.8657076967741995,0.007819659255632327,-5.517067609162041e-05
I-0-6,0.3381237943636909,0.18013171591375665,0.16725927878608415,0.022933985161902037,0.07650947983706335,0.8620291178375942,0.012237594360709148,9.283230453405178e-05
I-0-7,0.3307924189213953,0.18614102135889365,0.17054270205105992,0.02505144563646322,0.07591577150584539,0.8649061008058664,0.013048417841730386,-0.0007540192298669535
I-0-8,0.334880626498671,0.18569170101387644,0.16966302927145838,0.02587904356285886,0.07637677246614871,0.8632536371456682,0.011204032447813761,-0.00012655906558856067
I-0-9,0.33491583541418335,0.18282195022848768,0.16475699757419193,0.024972461201945295,0.07509760501583063,0.8629017862359187,0.01294492604817754,-0.0003562624796769054
