,ANN
RGB-phc_oc,0.751
RGB-phh_oc,0.738
RGB-ec_oc,0.726
RGB-caco3_oc,0.71
RGB-p_oc,0.717
RGB-n_oc,0.905
RGB-k_oc,0.719
RGB-stones_oc,0.701
