665,560,490,n,oc
0.763676,0.832794,0.951745,4.5,36.3
0.769394,0.863565,0.95356,5.7,42.6
0.815166,0.956967,1.072489,3.4,37.4
0.842054,0.950161,1.045911,6.9,77.2
0.660626,0.786966,0.964338,4.5,39.3
0.656116,0.781228,0.940658,1.9,16.3
0.721121,0.850123,1.008291,3.7,38.9
0.608704,0.736239,0.929031,3.4,43.4
0.776097,0.832979,0.929954,2.6,20.8
0.896514,1.040841,1.139779,10.7,146.9
0.861996,1.012438,1.12593,7.1,96.7
0.700775,0.802908,0.930225,4.2,34.2
0.687285,0.781038,0.885641,3.6,35.1
0.567,0.683357,0.813462,2.6,47
0.737431,0.862777,0.971746,5.2,55.5
0.633448,0.766647,0.932743,3.1,26.1
0.737629,0.872937,0.983105,5.4,78.5
0.852429,1.005159,1.123993,7.7,80
0.530029,0.65551,0.818691,2.7,24.3
0.710858,0.864757,1.013256,5.2,45.2
0.994,1.122338,1.228081,9.1,104.3
0.7896,0.92645,1.023347,4.8,91.5
0.631297,0.780388,0.924367,2.5,45.7
0.558353,0.692485,0.861512,1.4,10.5
0.699376,0.838257,0.983247,4.2,33.4
0.752593,0.895142,1.005678,5.2,75.7
0.735717,0.880265,1.023544,5.1,42.1
0.74443,0.881227,1.016973,9,79.1
0.606112,0.71927,0.870845,5.1,45.6
0.761829,0.904236,1.02994,5.7,60.5
0.700924,0.826047,0.949178,4.9,55
0.797579,0.946767,1.097324,5.4,56.2
0.745066,0.886738,1.038746,3.1,54.4
0.607011,0.730138,0.87981,2.1,33.2
0.732699,0.863055,1.004478,2.9,23.4
0.710797,0.837065,1.017086,2.7,21.8
0.862748,1.02046,1.130547,7.6,70.9
0.599056,0.726856,0.923696,1.8,11.7
0.60726,0.687585,0.898372,0.6,4
0.64249,0.770024,0.92955,2.7,42.7
0.618159,0.746537,1.000339,2.1,18
0.651976,0.778782,0.934975,3,28.1
0.740373,0.889467,1.042145,3.7,37.7
0.665689,0.794343,0.928054,2.5,33.3
0.584323,0.711002,0.891583,2.7,22.3
0.692039,0.819257,0.995868,2.7,39.5
0.813373,0.944467,1.118314,5.1,78.1
0.543804,0.662779,0.877965,1.6,13.7
0.654023,0.78244,0.97556,2.3,19.4
0.749503,0.879377,0.999434,7.1,65.1
0.735779,0.870461,0.985509,3.1,47.5
0.716933,0.841048,0.991128,3,28.4
0.750491,0.912528,1.069204,5.6,44.8
0.523075,0.649402,0.829791,1.6,11.2
0.98301,1.125604,1.238959,8.5,145.2
0.612005,0.744593,0.895281,2.8,26.9
0.836604,0.972021,1.097679,2.4,25.8
0.687835,0.822083,0.988993,2.4,23.8
0.771114,0.864707,0.966645,2.5,32.5
0.771424,0.861805,0.961511,2.4,28.9
0.66413,0.784368,0.957827,2.2,17.5
0.570464,0.678236,0.847461,2.9,33.5
0.907914,1.040097,1.141618,7.2,111.4
0.691858,0.808547,0.963985,1.4,13.7
0.884843,1.053247,1.201587,4,45.7
0.856277,0.985651,1.075435,4.3,64.1
0.729806,0.855661,0.994204,2.3,22.8
0.616045,0.710621,0.858725,2.3,32
0.821303,0.967519,1.104313,3.9,42.6
0.908512,1.051073,1.171868,6.8,71.6
0.613573,0.747144,0.907504,3.1,35.1
0.791379,0.926183,1.054871,2,18.7
1.012611,1.121923,1.19457,3.1,31.1
1.001079,1.135895,1.212447,8.3,157.2
0.656944,0.788624,0.955156,3.7,35.7
0.698258,0.817346,0.963531,2.5,31.9
0.697578,0.824157,0.996217,2.5,19.8
0.670432,0.776155,0.937919,2.4,24.4
0.77278,0.921081,1.069217,4.2,66.6
0.717698,0.833017,0.971089,3.7,33
0.760557,0.877146,1.035409,3,41.7
0.713641,0.845279,0.989341,3.5,29.8
0.737889,0.864317,0.996688,3.6,32.9
0.684538,0.814884,0.949853,4.3,45.5
0.723492,0.840022,0.990641,2.4,37.1
0.695015,0.842406,1.022715,4,31.7
0.57902,0.68892,0.804566,2.5,68.7
0.87076,0.987381,1.111312,5.4,45.1
0.71984,0.851414,0.992987,3.5,31.8
0.70445,0.786357,0.898648,1.9,17.5
0.725617,0.818968,0.935977,3.6,33.5
0.6553,0.794869,0.955697,2.5,33.5
0.720305,0.816233,0.954761,2.7,25
0.656359,0.779531,0.958354,3.3,27
0.604059,0.724479,0.922007,2,15.7
0.654439,0.778752,0.946948,2.6,24.1
0.62711,0.75327,0.957588,2.1,20.2
0.57346,0.702921,0.88343,3.2,36.3
0.565886,0.680995,0.873927,2.9,23.9
0.747454,0.879609,1.029307,5.6,49.8
0.786479,0.918627,1.056643,4.7,40.4
0.689751,0.843313,1.006683,4.5,39.8
0.672549,0.841585,0.974073,5.4,52.8
0.653221,0.806707,0.988633,2.9,45.9
0.636074,0.783734,0.951671,3.1,28.1
0.884826,1.08853,1.207999,5.5,45.8
0.641744,0.789335,0.970992,1.8,16.3
0.670159,0.814205,0.998501,2.1,18.2
0.781586,0.900873,1.029583,5.4,47.9
0.615195,0.721394,0.882378,2.5,21.8
0.610654,0.727503,0.910417,2.3,18.8
0.730388,0.835933,0.972127,2,17
0.561712,0.682606,0.882757,2.8,22.5
0.652619,0.800458,0.979684,2.4,31.6
0.577358,0.673534,0.851611,2.1,33.1
