,ANN
RGB_phc_oc,0.664
RGB_phh_oc,0.658
RGB_ec_oc,0.662
RGB_caco3_oc,0.655
RGB_p_oc,0.653
RGB_n_oc,0.658
RGB_k_oc,0.643
RGB_stones_oc,0.653
