,RGB_n_oc
I-0-0,0.6016926654769953
I-0-1,0.7236328565849217
I-0-2,0.7241301468264678
I-0-3,0.7128893812736297
I-0-4,0.6976021910298634
I-0-5,0.6753582120906967
I-0-6,0.7091380633404611
I-0-7,0.7149587570780812
I-0-8,0.6468750926765446
I-0-9,0.7083995362656992
