,RGB_n_oc
I-0-0,0.7108103630007028
I-0-1,0.7156822596483167
I-0-2,0.7106433288322034
I-0-3,0.665929553266161
I-0-4,0.7181011627748928
I-0-5,0.7173715925918747
I-0-6,0.7147773791315386
I-0-7,0.7231733344602287
I-0-8,0.6950592061926422
I-0-9,0.6580558277108337
