,RGB_n_oc
I-0-0,0.7127906105371127
I-0-1,0.624851093174453
I-0-2,0.7243821003553217
I-0-3,0.7223063281424169
I-0-4,0.6796129882449112
I-0-5,0.7171662651826194
I-0-6,0.6827413956967272
I-0-7,0.6282957645159944
I-0-8,0.7036969315454423
I-0-9,0.7117368733010525
