,RGB_n_oc
I-0-0,0.7229186068568869
I-0-1,0.715522887216868
I-0-2,0.7112168151796837
I-0-3,0.684985260277021
I-0-4,0.6835342381844999
I-0-5,0.7103985707109309
I-0-6,0.6878934594070941
I-0-7,0.7019672664007839
I-0-8,0.6208386099038703
I-0-9,0.4884775951264423
