,rgbnp
I-0-0,0.8581916730033042
I-0-1,0.8815524829406078
I-0-2,0.7556651677312789
I-0-3,0.8501995788652101
I-0-4,0.8733581910476536
I-0-5,0.8720151253758648
I-0-6,0.8602798329959482
I-0-7,0.8763905872678556
I-0-8,0.8707279786943546
I-0-9,0.8715273119587573
