,rgbnp
I-0-0,-235.7399529103581
I-0-1,-193.75485261200606
I-0-2,-165.3140876538862
I-0-3,-117.80307478802835
I-0-4,-128.78349699734852
I-0-5,-188.3081835296728
I-0-6,-122.80430174064465
I-0-7,-185.6415236670131
I-0-8,-170.3408530106907
I-0-9,-168.04846879977703
